Vendor Number,Proposal Number,Vendor Name,Bid Total,Engineers Estimate,Difference,Percentage Bid Total Over Estimate,Awarded,Letting Date
159C,C15032,KIEWIT WESTERN CO.,"$5,846,029.07","$4,853,103.25","$992,925.82",20.46%,0,3/17/2005
163A,C15032,LAFARGE NORTH AMERICA INC.,"$5,132,660.53","$4,853,103.25","$279,557.28",5.76%,1,3/17/2005
547A,C15032,"OLDCASTLE SW GROUP, INC. dba UNITED COMPANIES OF MESA COUNTY","$5,191,892.84","$4,853,103.25","$338,789.59",6.98%,0,3/17/2005
,C15032 Average,,,,"-$124,410.89",14.10%,,
1282A,C15060,"AMERICAN WEST CONSTRUCTION, LLC","$1,728,461.00","$1,169,629.40","$558,831.60",47.78%,0,3/17/2005
011A,C15060,AMES CONSTRUCTION INCORPORATED,"$1,389,065.00","$1,169,629.40","$219,435.60",18.76%,0,3/17/2005
167A,C15060,L & M ENTERPRISES INCORPORATED,"$1,313,106.76","$1,169,629.40","$143,477.36",12.27%,0,3/17/2005
779A,C15060,"SUN CONSTRUCTION, INC.","$1,129,802.45","$1,169,629.40","-$39,826.95",-3.41%,1,3/17/2005
279A,C15060,"TEZAK HEAVY EQUIPMENT CO., INC.","$1,300,572.27","$1,169,629.40","$130,942.87",11.20%,0,3/17/2005
,C15060 Average,,,,"$202,572.10",17.32%,,
005A,C15158,A and S CONSTRUCTION CO.,"$3,663,870.60","$3,789,887.00","-$126,016.40",-3.33%,0,3/17/2005
027A,C15158,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$3,808,845.10","$3,789,887.00","$18,958.10",0.50%,0,3/17/2005
017A,C15158,ASPHALT PAVING CO.,,"$3,789,887.00","-$3,789,887.00",0.00%,0,3/17/2005
505A,C15158,D.G. HUSKIN CONSTRUCTION CO.,,"$3,789,887.00","-$3,789,887.00",0.00%,0,3/17/2005
159C,C15158,KIEWIT WESTERN CO.,"$3,885,769.00","$3,789,887.00","$95,882.00",2.53%,0,3/17/2005
