Vendor Number,Proposal Number,Vendor Name,Bid Total,Engineers Estimate,Difference,Percentage Bid Total Over Estimate,Awarded,Letting Date
865A,C12560,"CONCRETE EXPRESS, INC.",,"$2,512,647.75","-$2,512,647.75",0.00%,0,3/31/2005
065A,C12560,CONCRETE WORKS OF COLORADO INCORPORATED,,"$2,512,647.75","-$2,512,647.75",0.00%,0,3/31/2005
1098A,C12560,DKS ENTERPRISES INC.,,"$2,512,647.75","-$2,512,647.75",0.00%,0,3/31/2005
164A,C12560,EDWARD KRAEMER AND SONS INCORPORATED,"$3,727,975.00","$2,512,647.75","$1,215,327.25",48.37%,0,3/31/2005
099H,C12560,"FLATIRON CONSTRUCTORS,  INC.",,"$2,512,647.75","-$2,512,647.75",0.00%,0,3/31/2005
884A,C12560,"HAMON INFRASTRUCTURE, INC.","$3,679,885.56","$2,512,647.75","$1,167,237.81",46.45%,1,3/31/2005
159C,C12560,KIEWIT WESTERN CO.,,"$2,512,647.75","-$2,512,647.75",0.00%,0,3/31/2005
692A,C12560,NEW DESIGN CONSTRUCTION COMPANY,,"$2,512,647.75","-$2,512,647.75",0.00%,0,3/31/2005
870A,C12560,"SEMA CONSTRUCTION, INC.","$4,038,000.00","$2,512,647.75","$1,525,352.25",60.71%,0,3/31/2005
,C12560 Average,,,,"-$1,367,926.89",16.99%,,
S3304,C14630,AGGREGATE INDUSTRIES,,"$2,488,037.20","-$2,488,037.20",0.00%,0,3/31/2005
017A,C14630,ASPHALT PAVING CO.,"$2,379,110.80","$2,488,037.20","-$108,926.40",-4.38%,0,3/31/2005
924A,C14630,"ASPHALT SPECIALTIES CO., INC.","$2,463,807.39","$2,488,037.20","-$24,229.81",-0.97%,0,3/31/2005
032A,C14630,"BRANNAN SAND AND GRAVEL, LLC","$2,698,594.15","$2,488,037.20","$210,556.95",8.46%,0,3/31/2005
968A,C14630,"COLORADO CONSTRUCTORS, INC.",,"$2,488,037.20","-$2,488,037.20",0.00%,0,3/31/2005
159C,C14630,KIEWIT WESTERN CO.,,"$2,488,037.20","-$2,488,037.20",0.00%,0,3/31/2005
163A,C14630,LAFARGE NORTH AMERICA INC.,,"$2,488,037.20","-$2,488,037.20",0.00%,0,3/31/2005
692A,C14630,NEW DESIGN CONSTRUCTION COMPANY,,"$2,488,037.20","-$2,488,037.20",0.00%,0,3/31/2005
S2881,C14630,"PREMIER PAVING, INC.","$2,223,419.03","$2,488,037.20","-$264,618.17",-10.64%,1,3/31/2005
276A,C14630,"TECHNOLOGY CONSTRUCTORS, INC.",,"$2,488,037.20","-$2,488,037.20",0.00%,0,3/31/2005
,C14630 Average,,,,"-$1,511,544.06",-0.75%,,
009A,C14923S,ADARAND CONSTRUCTORS INCORPORATED,"$141,317.19","$95,862.90","$45,454.29",47.42%,0,3/31/2005
074A,C14923S,CRUZ CONSTRUCTION INCORPORATED,"$106,704.75","$95,862.90","$10,841.85",11.31%,1,3/31/2005
1273A,C14923S,ROCK and CO.,,"$95,862.90","-$95,862.90",0.00%,0,3/31/2005
,C14923S Average,,,,"-$13,188.92",19.58%,,
1040A,C14979,BTE CONCRETE FORMWORK LIMITED LIABILITY COMPANY,,"$2,768,707.75","-$2,768,707.75",0.00%,0,3/31/2005
968A,C14979,"COLORADO CONSTRUCTORS, INC.",,"$2,768,707.75","-$2,768,707.75",0.00%,0,3/31/2005
065A,C14979,CONCRETE WORKS OF COLORADO INCORPORATED,"$3,374,896.00","$2,768,707.75","$606,188.25",21.89%,0,3/31/2005
091A,C14979,ELAM CONSTRUCTION INCORPORATED,,"$2,768,707.75","-$2,768,707.75",0.00%,0,3/31/2005
503F,C14979,K.E.C.I. COLORADO INCORPORATED,"$2,912,372.55","$2,768,707.75","$143,664.80",5.19%,1,3/31/2005
674A,C14979,KAESS CONTRACTING INCORPORATED,,"$2,768,707.75","-$2,768,707.75",0.00%,0,3/31/2005
159C,C14979,KIEWIT WESTERN CO.,,"$2,768,707.75","-$2,768,707.75",0.00%,0,3/31/2005
692A,C14979,NEW DESIGN CONSTRUCTION COMPANY,,"$2,768,707.75","-$2,768,707.75",0.00%,0,3/31/2005
276A,C14979,"TECHNOLOGY CONSTRUCTORS, INC.",,"$2,768,707.75","-$2,768,707.75",0.00%,0,3/31/2005
,C14979 Average,,,,"-$2,070,122.36",3.01%,,
621A,C15031R,GMCO LIMITED LIABILITY COMPANY OF COLORADO,"$1,159,574.56","$1,139,100.75","$20,473.81",1.80%,0,3/31/2005
110E,C15031R,"INTERMOUNTAIN SLURRY SEAL, INC.","$1,118,811.00","$1,139,100.75","-$20,289.75",-1.78%,0,3/31/2005
160A,C15031R,"KIRKLAND CONSTRUCTION, L.L.L.P.",,"$1,139,100.75","-$1,139,100.75",0.00%,0,3/31/2005
547A,C15031R,"OLDCASTLE SW GROUP, INC. dba UNITED COMPANIES OF MESA COUNTY","$1,082,725.42","$1,139,100.75","-$56,375.33",-4.95%,1,3/31/2005
,C15031R Average,,,,"-$298,823.01",-1.23%,,
028B,C15200,"AGGREGATE INDUSTRIES - WCR, INC.","$329,123.39","$397,144.00","-$68,020.61",-17.13%,0,3/31/2005
017A,C15200,ASPHALT PAVING CO.,"$338,556.75","$397,144.00","-$58,587.25",-14.75%,0,3/31/2005
924A,C15200,"ASPHALT SPECIALTIES CO., INC.","$343,879.50","$397,144.00","-$53,264.50",-13.41%,0,3/31/2005
032A,C15200,"BRANNAN SAND AND GRAVEL, LLC",,"$397,144.00","-$397,144.00",0.00%,0,3/31/2005
174A,C15200,CONNELL RESOURCES INCORPORATED,,"$397,144.00","-$397,144.00",0.00%,0,3/31/2005
071A,C15200,COULSON EXCAVATING COMPANY INCORPORATED,"$361,353.80","$397,144.00","-$35,790.20",-9.01%,0,3/31/2005
163A,C15200,LAFARGE NORTH AMERICA INC.,"$304,540.13","$397,144.00","-$92,603.87",-23.32%,1,3/31/2005
S2881,C15200,"PREMIER PAVING, INC.","$315,075.20","$397,144.00","-$82,068.80",-20.66%,0,3/31/2005
,C15200 Average,,,,"-$148,077.90",-12.29%,,
009A,MM5040,ADARAND CONSTRUCTORS INCORPORATED,"$350,351.25","$297,367.50","$52,983.75",17.82%,0,3/31/2005
074A,MM5040,CRUZ CONSTRUCTION INCORPORATED,"$296,146.20","$297,367.50","-$1,221.30",-0.41%,1,3/31/2005
1109A,MM5040,DOUBLE D CONSTRUCTION LLC,,"$297,367.50","-$297,367.50",0.00%,0,3/31/2005
655A,MM5040,"GONZALES CONSTRUCTION COMPANY, INC.","$304,685.85","$297,367.50","$7,318.35",2.46%,0,3/31/2005
447A,MM5040,IDEAL FENCING CORPORATION,"$346,697.00","$297,367.50","$49,329.50",16.59%,0,3/31/2005
,MM5040 Average,,,,"-$37,791.44",7.29%,,
159C,C13970T-ALT A,KIEWIT WESTERN CO.,"$11,334,604.05","$11,625,035.56","-$290,431.51",-2.50%,1,4/7/2005
,C13970T-ALT A Average,,,,"-$290,431.51",-2.50%,,
159C,C13970T-ALT B,KIEWIT WESTERN CO.,"$8,997,633.30","$9,195,746.56","-$198,113.26",-2.15%,1,4/7/2005
,C13970T-ALT B Average,,,,"-$198,113.26",-2.15%,,
017A,C14663R,ASPHALT PAVING CO.,"$5,285,927.28","$4,730,862.90","$555,064.38",11.73%,0,4/7/2005
071A,C14663R,COULSON EXCAVATING COMPANY INCORPORATED,"$4,668,074.45","$4,730,862.90","-$62,788.45",-1.33%,1,4/7/2005
159C,C14663R,KIEWIT WESTERN CO.,"$4,853,954.00","$4,730,862.90","$123,091.10",2.60%,0,4/7/2005
,C14663R Average,,,,"$205,122.34",4.34%,,
360A,C15009,"MOUNTAIN CONSTRUCTORS, INC.","$778,803.30","$780,124.90","-$1,321.60",-0.17%,1,4/7/2005
801A,C15009,ZAK DIRT INCORPORATED,"$827,215.00","$780,124.90","$47,090.10",6.04%,0,4/7/2005
,C15009 Average,,,,"$22,884.25",2.93%,,
023A,C15103,CANYON VALLEY ELECTRIC A DIVISION OF TIC,"$394,977.00","$358,100.00","$36,877.00",10.30%,0,4/7/2005
1098A,C15103,DKS ENTERPRISES INC.,"$326,889.50","$358,100.00","-$31,210.50",-8.72%,0,4/7/2005
1370A,C15103,GECO/KIMSEY LLC dba GUARANTEE ELECTRICAL CONTRACTING,"$289,752.18","$358,100.00","-$68,347.82",-19.09%,1,4/7/2005
1235A,C15103,"INTEGRATED ELECTRIC, INC.","$290,164.25","$358,100.00","-$67,935.75",-18.97%,0,4/7/2005
1231A,C15103,INTERFACE COMMUNICATIONS COMPANY,"$352,544.75","$358,100.00","-$5,555.25",-1.55%,0,4/7/2005
1408A,C15103,"NORTHERN ELECTRIC, INC.","$386,882.84","$358,100.00","$28,782.84",8.04%,0,4/7/2005
1363A,C15103,"POWER ENGINEERS, INC.","$320,423.48","$358,100.00","-$37,676.52",-10.52%,0,4/7/2005
720A,C15103,"STURGEON ELECTRIC COMPANY, INC.","$331,121.30","$358,100.00","-$26,978.70",-7.53%,0,4/7/2005
1315A,C15103,"U.S. COMMUNICATIONS CONTRACTORS, LLC","$493,170.00","$358,100.00","$135,070.00",37.72%,0,4/7/2005
,C15103 Average,,,,"-$4,108.30",-1.15%,,
005A,C15135,A and S CONSTRUCTION CO.,"$4,923,995.85","$5,007,144.40","-$83,148.55",-1.66%,0,4/7/2005
027A,C15135,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$4,712,449.75","$5,007,144.40","-$294,694.65",-5.89%,0,4/7/2005
091A,C15135,ELAM CONSTRUCTION INCORPORATED,"$4,522,513.30","$5,007,144.40","-$484,631.10",-9.68%,1,4/7/2005
159C,C15135,KIEWIT WESTERN CO.,"$5,283,134.10","$5,007,144.40","$275,989.70",5.51%,0,4/7/2005
245B,C15135,"NIELSONS SKANSKA, INCORPORATED","$4,799,473.90","$5,007,144.40","-$207,670.50",-4.15%,0,4/7/2005
,C15135 Average,,,,"-$158,831.02",-3.17%,,
023A,C15180,CANYON VALLEY ELECTRIC A DIVISION OF TIC,,"$155,688.00","-$155,688.00",0.00%,0,4/7/2005
1098A,C15180,DKS ENTERPRISES INC.,,"$155,688.00","-$155,688.00",0.00%,0,4/7/2005
1370A,C15180,GECO/KIMSEY LLC dba GUARANTEE ELECTRICAL CONTRACTING,,"$155,688.00","-$155,688.00",0.00%,0,4/7/2005
1235A,C15180,"INTEGRATED ELECTRIC, INC.",,"$155,688.00","-$155,688.00",0.00%,0,4/7/2005
1231A,C15180,INTERFACE COMMUNICATIONS COMPANY,,"$155,688.00","-$155,688.00",0.00%,0,4/7/2005
503F,C15180,K.E.C.I. COLORADO INCORPORATED,,"$155,688.00","-$155,688.00",0.00%,0,4/7/2005
692A,C15180,NEW DESIGN CONSTRUCTION COMPANY,,"$155,688.00","-$155,688.00",0.00%,0,4/7/2005
1408A,C15180,"NORTHERN ELECTRIC, INC.",,"$155,688.00","-$155,688.00",0.00%,0,4/7/2005
1363A,C15180,"POWER ENGINEERS, INC.",,"$155,688.00","-$155,688.00",0.00%,0,4/7/2005
720A,C15180,"STURGEON ELECTRIC COMPANY, INC.",,"$155,688.00","-$155,688.00",0.00%,0,4/7/2005
276A,C15180,"TECHNOLOGY CONSTRUCTORS, INC.",,"$155,688.00","-$155,688.00",0.00%,0,4/7/2005
1315A,C15180,"U.S. COMMUNICATIONS CONTRACTORS, LLC",,"$155,688.00","-$155,688.00",0.00%,0,4/7/2005
982A,C15180,"WARNING LITES & EQUIPMENT, INCORPORATED","$193,500.00","$155,688.00","$37,812.00",24.29%,1,4/7/2005
1011A,C15180,XKE CONTRACTORS INC,,"$155,688.00","-$155,688.00",0.00%,0,4/7/2005
,C15180 Average,,,,"-$141,866.57",1.73%,,
924A,M6054,"ASPHALT SPECIALTIES CO., INC.","$230,503.25","$148,459.50","$82,043.75",55.26%,0,4/7/2005
503F,M6054,K.E.C.I. COLORADO INCORPORATED,"$220,724.00","$148,459.50","$72,264.50",48.68%,0,4/7/2005
697A,M6054,"W.L. CONTRACTORS, INC.",,"$148,459.50","-$148,459.50",0.00%,0,4/7/2005
,M6054 Average,,,,"$1,949.58",34.65%,,
503F,MM6051R,K.E.C.I. COLORADO INCORPORATED,"$169,933.00","$105,215.00","$64,718.00",61.51%,0,4/7/2005
692A,MM6051R,NEW DESIGN CONSTRUCTION COMPANY,"$104,156.00","$105,215.00","-$1,059.00",-1.01%,0,4/7/2005
276A,MM6051R,"TECHNOLOGY CONSTRUCTORS, INC.","$112,320.10","$105,215.00","$7,105.10",6.75%,0,4/7/2005
1011A,MM6051R,XKE CONTRACTORS INC,"$84,192.50","$105,215.00","-$21,022.50",-19.98%,1,4/7/2005
,MM6051R Average,,,,"$12,435.40",11.82%,,
017A,C14234,ASPHALT PAVING CO.,,"$5,743,020.00","-$5,743,020.00",0.00%,0,4/14/2005
924A,C14234,"ASPHALT SPECIALTIES CO., INC.","$7,224,810.00","$5,743,020.00","$1,481,790.00",25.80%,0,4/14/2005
032A,C14234,"BRANNAN SAND AND GRAVEL, LLC",,"$5,743,020.00","-$5,743,020.00",0.00%,0,4/14/2005
150B,C14234,CASTLE ROCK CONSTRUCTION CO,,"$5,743,020.00","-$5,743,020.00",0.00%,0,4/14/2005
1275A,C14234,"CASTLE ROCK CONSTRUCTION COMPANY OF COLORADO, LLC","$6,336,659.25","$5,743,020.00","$593,639.25",10.34%,0,4/14/2005
865A,C14234,"CONCRETE EXPRESS, INC.","$8,695,927.00","$5,743,020.00","$2,952,907.00",51.42%,0,4/14/2005
090A,C14234,INTERSTATE HIGHWAY CONSTRUCTION,"$6,106,038.53","$5,743,020.00","$363,018.53",6.32%,1,4/14/2005
159C,C14234,KIEWIT WESTERN CO.,,"$5,743,020.00","-$5,743,020.00",0.00%,0,4/14/2005
107C,C14234,KNJ INCORPORATED,,"$5,743,020.00","-$5,743,020.00",0.00%,0,4/14/2005
854A,C14234,LAWSON CONSTRUCTION CO.,"$6,693,124.95","$5,743,020.00","$950,104.95",16.54%,0,4/14/2005
692A,C14234,NEW DESIGN CONSTRUCTION COMPANY,,"$5,743,020.00","-$5,743,020.00",0.00%,0,4/14/2005
,C14234 Average,,,,"-$2,556,060.02",10.04%,,
005A,C14507,A and S CONSTRUCTION CO.,"$2,583,059.77","$2,640,096.75","-$57,036.98",-2.16%,0,4/14/2005
027A,C14507,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$2,342,259.14","$2,640,096.75","-$297,837.61",-11.28%,1,4/14/2005
807A,C14507,ASPHALT CONSTRUCTORS INCORPORATED,,"$2,640,096.75","-$2,640,096.75",0.00%,0,4/14/2005
159C,C14507,KIEWIT WESTERN CO.,"$2,525,692.80","$2,640,096.75","-$114,403.95",-4.33%,0,4/14/2005
160A,C14507,"KIRKLAND CONSTRUCTION, L.L.L.P.",,"$2,640,096.75","-$2,640,096.75",0.00%,0,4/14/2005
163A,C14507,LAFARGE NORTH AMERICA INC.,,"$2,640,096.75","-$2,640,096.75",0.00%,0,4/14/2005
903A,C14507,"TLM CONSTRUCTORS, INC.",,"$2,640,096.75","-$2,640,096.75",0.00%,0,4/14/2005
,C14507 Average,,,,"-$1,575,666.51",-2.54%,,
924A,C15008,"ASPHALT SPECIALTIES CO., INC.",,"$354,762.50","-$354,762.50",0.00%,0,4/14/2005
1098A,C15008,DKS ENTERPRISES INC.,"$408,529.50","$354,762.50","$53,767.00",15.16%,0,4/14/2005
1095A,C15008,"DOUBLE E, INC. DBA ELECTRICAL EXCELLENCE ENTERPRISES","$372,821.12","$354,762.50","$18,058.62",5.09%,0,4/14/2005
060A,C15008,"HIGHWAY TECHNOLOGIES, INC.",,"$354,762.50","-$354,762.50",0.00%,0,4/14/2005
1235A,C15008,"INTEGRATED ELECTRIC, INC.","$408,798.46","$354,762.50","$54,035.96",15.23%,0,4/14/2005
1231A,C15008,INTERFACE COMMUNICATIONS COMPANY,"$339,099.15","$354,762.50","-$15,663.35",-4.42%,1,4/14/2005
503F,C15008,K.E.C.I. COLORADO INCORPORATED,,"$354,762.50","-$354,762.50",0.00%,0,4/14/2005
163A,C15008,LAFARGE NORTH AMERICA INC.,,"$354,762.50","-$354,762.50",0.00%,0,4/14/2005
908A,C15008,POWER ELECTRIC COMPANY,"$382,604.24","$354,762.50","$27,841.74",7.85%,0,4/14/2005
720A,C15008,"STURGEON ELECTRIC COMPANY, INC.","$442,906.20","$354,762.50","$88,143.70",24.85%,0,4/14/2005
697A,C15008,"W.L. CONTRACTORS, INC.","$393,567.00","$354,762.50","$38,804.50",10.94%,0,4/14/2005
,C15008 Average,,,,"-$104,914.71",6.79%,,
1098A,MM6056,DKS ENTERPRISES INC.,"$29,610.00","$20,450.00","$9,160.00",44.79%,0,4/14/2005
S3301,MM6056,JM CABLE,,"$20,450.00","-$20,450.00",0.00%,0,4/14/2005
503F,MM6056,K.E.C.I. COLORADO INCORPORATED,"$16,320.00","$20,450.00","-$4,130.00",-20.20%,1,4/14/2005
1363A,MM6056,"POWER ENGINEERS, INC.","$17,250.00","$20,450.00","-$3,200.00",-15.65%,0,4/14/2005
720A,MM6056,"STURGEON ELECTRIC COMPANY, INC.","$34,875.00","$20,450.00","$14,425.00",70.54%,0,4/14/2005
697A,MM6056,"W.L. CONTRACTORS, INC.","$38,735.00","$20,450.00","$18,285.00",89.41%,0,4/14/2005
,MM6056 Average,,,,"$2,348.33",28.15%,,
232A,C12810,"AMERICAN CIVIL CONSTRUCTORS, LLC. dba ACC Mountain West","$2,213,978.00","$1,674,015.20","$539,962.80",32.26%,0,4/21/2005
011A,C12810,AMES CONSTRUCTION INCORPORATED,"$1,617,400.00","$1,674,015.20","-$56,615.20",-3.38%,0,4/21/2005
884A,C12810,"HAMON INFRASTRUCTURE, INC.","$1,677,279.70","$1,674,015.20","$3,264.50",0.20%,0,4/21/2005
169A,C12810,LAWRENCE CONSTRUCTION COMPANY,"$1,930,998.52","$1,674,015.20","$256,983.32",15.35%,0,4/21/2005
360A,C12810,"MOUNTAIN CONSTRUCTORS, INC.","$1,887,055.45","$1,674,015.20","$213,040.25",12.73%,0,4/21/2005
562A,C12810,"NEATLINE STRUCTURES, INC.","$1,672,506.95","$1,674,015.20","-$1,508.25",-0.09%,0,4/21/2005
870A,C12810,"SEMA CONSTRUCTION, INC.","$1,713,713.00","$1,674,015.20","$39,697.80",2.37%,0,4/21/2005
903A,C12810,"TLM CONSTRUCTORS, INC.","$1,805,755.15","$1,674,015.20","$131,739.95",7.87%,0,4/21/2005
801A,C12810,ZAK DIRT INCORPORATED,"$1,577,525.55","$1,674,015.20","-$96,489.65",-5.76%,1,4/21/2005
,C12810 Average,,,,"$114,452.84",6.84%,,
164A,C13003,EDWARD KRAEMER AND SONS INCORPORATED,"$12,035,000.00","$11,477,207.47","$557,792.53",4.86%,0,4/21/2005
159C,C13003,KIEWIT WESTERN CO.,"$11,874,901.50","$11,477,207.47","$397,694.03",3.47%,1,4/21/2005
169A,C13003,LAWRENCE CONSTRUCTION COMPANY,"$12,585,900.49","$11,477,207.47","$1,108,693.02",9.66%,0,4/21/2005
870A,C13003,"SEMA CONSTRUCTION, INC.","$11,925,925.00","$11,477,207.47","$448,717.53",3.91%,0,4/21/2005
,C13003 Average,,,,"$628,224.28",5.47%,,
1098A,C14322,DKS ENTERPRISES INC.,"$660,482.79","$642,570.00","$17,912.79",2.79%,0,4/21/2005
720A,C14322,"STURGEON ELECTRIC COMPANY, INC.","$583,008.96","$642,570.00","-$59,561.04",-9.27%,0,4/21/2005
697A,C14322,"W.L. CONTRACTORS, INC.","$565,119.90","$642,570.00","-$77,450.10",-12.05%,1,4/21/2005
,C14322 Average,,,,"-$39,699.45",-6.18%,,
1202A,MM1050,"5L, INCORPORATED","$35,752.00","$38,223.50","-$2,471.50",-6.47%,0,4/21/2005
503F,MM1050,K.E.C.I. COLORADO INCORPORATED,"$34,082.80","$38,223.50","-$4,140.70",-10.83%,1,4/21/2005
276A,MM1050,"TECHNOLOGY CONSTRUCTORS, INC.","$44,152.30","$38,223.50","$5,928.80",15.51%,0,4/21/2005
903A,MM1050,"TLM CONSTRUCTORS, INC.","$43,338.60","$38,223.50","$5,115.10",13.38%,0,4/21/2005
,MM1050 Average,,,,"$1,107.93",2.90%,,
005A,MM5041,A and S CONSTRUCTION CO.,,"$561,161.00","-$561,161.00",0.00%,0,4/21/2005
027A,MM5041,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$641,386.00","$561,161.00","$80,225.00",14.30%,0,4/21/2005
091A,MM5041,ELAM CONSTRUCTION INCORPORATED,,"$561,161.00","-$561,161.00",0.00%,0,4/21/2005
160A,MM5041,"KIRKLAND CONSTRUCTION, L.L.L.P.",,"$561,161.00","-$561,161.00",0.00%,0,4/21/2005
547A,MM5041,"OLDCASTLE SW GROUP, INC. dba UNITED COMPANIES OF MESA COUNTY","$563,862.24","$561,161.00","$2,701.24",0.48%,1,4/21/2005
S3452,MM5041,"PAVETEC, INC.",,"$561,161.00","-$561,161.00",0.00%,0,4/21/2005
,MM5041 Average,,,,"-$360,286.29",2.46%,,
012A,C15076,AIS CONSTRUCTION COMPANY,"$425,244.45","$295,090.00","$130,154.45",44.11%,0,4/28/2005
1116A,C15076,"HI-TECH ROCKFALL CONSTRUCTION, INC.","$456,685.65","$295,090.00","$161,595.65",54.76%,0,4/28/2005
1399,C15076,RANDY GERKE dba ENVIRO-TECH INTERNATIONAL,,"$295,090.00","-$295,090.00",0.00%,0,4/28/2005
1273A,C15076,ROCK and CO.,,"$295,090.00","-$295,090.00",0.00%,0,4/28/2005
793A,C15076,"YENTER COMPANIES, INC.","$255,000.00","$295,090.00","-$40,090.00",-13.59%,1,4/28/2005
,C15076 Average,,,,"-$67,703.98",17.06%,,
1057A,C15203,A-1 CHIPSEAL COMPANY,,"$866,862.75","-$866,862.75",0.00%,0,4/28/2005
017A,C15203,ASPHALT PAVING CO.,,"$866,862.75","-$866,862.75",0.00%,0,4/28/2005
621A,C15203,GMCO LIMITED LIABILITY COMPANY OF COLORADO,,"$866,862.75","-$866,862.75",0.00%,0,4/28/2005
110E,C15203,"INTERMOUNTAIN SLURRY SEAL, INC.","$1,015,952.75","$866,862.75","$149,090.00",17.20%,0,4/28/2005
160A,C15203,"KIRKLAND CONSTRUCTION, L.L.L.P.",,"$866,862.75","-$866,862.75",0.00%,0,4/28/2005
,C15203 Average,,,,"-$663,672.20",3.44%,,
1057A,C15204,A-1 CHIPSEAL COMPANY,"$497,433.90","$474,735.62","$22,698.28",4.78%,0,4/28/2005
017A,C15204,ASPHALT PAVING CO.,,"$474,735.62","-$474,735.62",0.00%,0,4/28/2005
621A,C15204,GMCO LIMITED LIABILITY COMPANY OF COLORADO,,"$474,735.62","-$474,735.62",0.00%,0,4/28/2005
110E,C15204,"INTERMOUNTAIN SLURRY SEAL, INC.","$675,675.00","$474,735.62","$200,939.38",42.33%,0,4/28/2005
160A,C15204,"KIRKLAND CONSTRUCTION, L.L.L.P.",,"$474,735.62","-$474,735.62",0.00%,0,4/28/2005
,C15204 Average,,,,"-$240,113.84",9.42%,,
060A,MM2022,"HIGHWAY TECHNOLOGIES, INC.","$1,859,404.45","$1,952,910.20","-$93,505.75",-4.79%,1,4/28/2005
162A,MM2022,KOLBE STRIPING INCORPORATED,"$2,527,354.55","$1,952,910.20","$574,444.35",29.41%,0,4/28/2005
595A,MM2022,ROAD SAFE,"$2,392,226.19","$1,952,910.20","$439,315.99",22.50%,0,4/28/2005
,MM2022 Average,,,,"$306,751.53",15.71%,,
1275A,C12490,"CASTLE ROCK CONSTRUCTION COMPANY OF COLORADO, LLC","$5,173,115.36","$5,186,935.00","-$13,819.64",-0.27%,1,5/5/2005
090A,C12490,INTERSTATE HIGHWAY CONSTRUCTION,"$5,764,984.96","$5,186,935.00","$578,049.96",11.14%,0,5/5/2005
